MAC,HOSTNAME,DESCRIPTION,SSID,NASID
000F92FA380F,VanTaxi001,1590000001,Vancouver Taxi Guest,VanTaxi001
000F92FE02AE,VanTaxi002,1590000002,Vancouver Taxi Guest,VanTaxi002
000F92FA37ED,VanTaxi003,1590000003,Vancouver Taxi Guest,VanTaxi003
000F92FE0170,VanTaxi004,1590000004,Vancouver Taxi Guest,VanTaxi004
000F92FE0174,VanTaxi005,1590000005,Vancouver Taxi Guest,VanTaxi005
000F92FE0197,VanTaxi006,1590000006,Vancouver Taxi Guest,VanTaxi006
000F92FA37B6,VanTaxi007,1590000007,Vancouver Taxi Guest,VanTaxi007
000F92FE02BB,VanTaxi008,1590000008,Vancouver Taxi Guest,VanTaxi008
000F92FE0187,VanTaxi009,1590000009,Vancouver Taxi Guest,VanTaxi009
000F92FE0272,VanTaxi010,1590000010,Vancouver Taxi Guest,VanTaxi010
000F92FE0188,VanTaxi011,1590000011,Vancouver Taxi Guest,VanTaxi011
000F92FA38F1,VanTaxi012,1590000012,Vancouver Taxi Guest,VanTaxi012
000F92FA38F0,VanTaxi013,1590000013,Vancouver Taxi Guest,VanTaxi013
000F92FE0345,VanTaxi014,1590000014,Vancouver Taxi Guest,VanTaxi014
000F92FE018D,VanTaxi015,1590000015,Vancouver Taxi Guest,VanTaxi015
000F92FA37FA,VanTaxi016,1590000016,Vancouver Taxi Guest,VanTaxi016
000F92FE0186,VanTaxi017,1590000017,Vancouver Taxi Guest,VanTaxi017
000F92FA38EF,VanTaxi018,1590000018,Vancouver Taxi Guest,VanTaxi018
000F92FE0180,VanTaxi019,1590000019,Vancouver Taxi Guest,VanTaxi019
000F92FE0136,VanTaxi020,1590000020,Vancouver Taxi Guest,VanTaxi020
000F92FA389F,VanTaxi021,1590000021,Vancouver Taxi Guest,VanTaxi021
000F92FA380E,VanTaxi022,1590000022,Vancouver Taxi Guest,VanTaxi022
000F92FE0351,VanTaxi023,1590000023,Vancouver Taxi Guest,VanTaxi023
000F92FE0175,VanTaxi024,1590000024,Vancouver Taxi Guest,VanTaxi024
000F92FA3813,VanTaxi025,1590000025,Vancouver Taxi Guest,VanTaxi025
000F92FA3922,VanTaxi026,1590000026,Vancouver Taxi Guest,VanTaxi026
000F92FA3955,VanTaxi027,1590000027,Vancouver Taxi Guest,VanTaxi027
000F92FA388D,VanTaxi028,1590000028,Vancouver Taxi Guest,VanTaxi028
000F92FA388C,VanTaxi029,1590000029,Vancouver Taxi Guest,VanTaxi029
000F92FE02E7,VanTaxi030,1590000030,Vancouver Taxi Guest,VanTaxi030
000F92FE01B4,VanTaxi031,1590000031,Vancouver Taxi Guest,VanTaxi031
000F92FE0192,VanTaxi032,1590000032,Vancouver Taxi Guest,VanTaxi032
000F92FA3787,VanTaxi033,1590000033,Vancouver Taxi Guest,VanTaxi033
000F92FA37AC,VanTaxi034,1590000034,Vancouver Taxi Guest,VanTaxi034
000F92FE02BE,VanTaxi035,1590000035,Vancouver Taxi Guest,VanTaxi035
000F92FE0275,VanTaxi036,1590000036,Vancouver Taxi Guest,VanTaxi036
000F92FE0274,VanTaxi037,1590000037,Vancouver Taxi Guest,VanTaxi037
000F92FA37AD,VanTaxi038,1590000038,Vancouver Taxi Guest,VanTaxi038
000F92FA3952,VanTaxi039,1590000039,Vancouver Taxi Guest,VanTaxi039
000F92FA37BC,VanTaxi040,1590000040,Vancouver Taxi Guest,VanTaxi040
000F92FA3817,VanTaxi041,1590000041,Vancouver Taxi Guest,VanTaxi041
000F92FA378A,VanTaxi042,1590000042,Vancouver Taxi Guest,VanTaxi042
000F92FA38F2,VanTaxi043,1590000043,Vancouver Taxi Guest,VanTaxi043
000F92FA37AA,VanTaxi044,1590000044,Vancouver Taxi Guest,VanTaxi044
000F92FE0173,VanTaxi045,1590000045,Vancouver Taxi Guest,VanTaxi045
000F92FA37AE,VanTaxi046,1590000046,Vancouver Taxi Guest,VanTaxi046
000F92FE0184,VanTaxi047,1590000047,Vancouver Taxi Guest,VanTaxi047
000F92FA37B8,VanTaxi048,1590000048,Vancouver Taxi Guest,VanTaxi048
000F92FE02E9,VanTaxi049,1590000049,Vancouver Taxi Guest,VanTaxi049
000F92FE018C,VanTaxi050,1590000050,Vancouver Taxi Guest,VanTaxi050
000F92FE0147,VanTaxi051,1590000051,Vancouver Taxi Guest,VanTaxi051
000F92FA37BA,VanTaxi052,1590000052,Vancouver Taxi Guest,VanTaxi052
000F92FE018F,VanTaxi053,1590000053,Vancouver Taxi Guest,VanTaxi053
000F92FE02A6,VanTaxi054,1590000054,Vancouver Taxi Guest,VanTaxi054
000F92FE0189,VanTaxi055,1590000055,Vancouver Taxi Guest,VanTaxi055
000F92FE0183,VanTaxi056,1590000056,Vancouver Taxi Guest,VanTaxi056
000F92FA3797,VanTaxi057,1590000057,Vancouver Taxi Guest,VanTaxi057
000F92FA3889,VanTaxi058,1590000058,Vancouver Taxi Guest,VanTaxi058
000F92FE01D2,VanTaxi059,1590000059,Vancouver Taxi Guest,VanTaxi059
000F92FE017A,VanTaxi060,1590000060,Vancouver Taxi Guest,VanTaxi060
000F92FE0193,VanTaxi061,1590000061,Vancouver Taxi Guest,VanTaxi061
000F92FA37B9,VanTaxi062,1590000062,Vancouver Taxi Guest,VanTaxi062
000F92FE021B,VanTaxi063,1590000063,Vancouver Taxi Guest,VanTaxi063
000F92FE0195,VanTaxi064,1590000064,Vancouver Taxi Guest,VanTaxi064
